Cowboys,9.22,DST,DAL,2600
Tyler Higbee,6.1,TE,LAR,2600
Demetrius Harris,0,TE,KC,2600
Dallas Goedert,8.41,TE,PHI,2600
Mike Gesicki,3.8,TE,MIA,2600
Delanie Walker,0,TE,TEN,2500
Luke Stocker,3.81,TE,TEN,2500
MyCole Pruitt,2.75,TE,TEN,2500
Beau Brinkley,0,TE,TEN,2500
Cole Wick,0,TE,TEN,2500
Jeremy Sprinkle,4.71,TE,WAS,2500
Virgil Green,3.41,TE,LAC,2500
Ravens,7.67,DST,BAL,2500
Nick Boyle,0,TE,BAL,2500
Hunter Henry,0,TE,LAC,2500
Clark Harris,0,TE,CIN,2500
Darren Fells,0,TE,CLE,2500
Tyler Eifert,0,TE,CIN,2500
Matt Lengel,0,TE,CIN,2500
Seth DeValve,0,TE,CLE,2500
Geoff Swaim,0,TE,DAL,2500
Alan Cross,0,TE,TB,2500
Rico Gathers,0,TE,DAL,2500
Antony Auclair,0,TE,TB,2500
Levine Toilolo,5.44,TE,DET,2500
Luke Willson,3.06,TE,DET,2500
Jerome Cunningham,0,TE,DET,2500
Kevin McDermott,0,TE,MIN,2500
David Morgan,0,TE,MIN,2500
Josiah Price,0,TE,MIN,2500
Charles Clay,0,TE,BUF,2500
Dwayne Allen,0,TE,NE,2500
Logan Thomas,0,TE,BUF,2500
Patriots,8.39,DST,NE,2500
Jacob Hollister,0,TE,NE,2500
Jason Croom,2.25,TE,BUF,2500
Lance Kendricks,5.16,TE,GB,2500
Marcedes Lewis,0,TE,GB,2500
Eric Tomlinson,0,TE,NYJ,2500
Richard Rodgers,0,TE,PHI,2500
Logan Paulsen,0,TE,ATL,2500
Chris Manhertz,0,TE,CAR,2500
Eric Saubert,0,TE,ATL,2500
Rhett Ellison,0,TE,NYG,2500
Ryan Hewitt,0,TE,IND,2500
Scott Simonson,0,TE,NYG,2500
Austin Seferian-Jenkins,0,TE,JAC,2500
Niles Paul,0,TE,JAC,2500
Ben Koyack,0,TE,JAC,2500
Nick O'Leary,0,TE,MIA,2500
Blake Bell,0,TE,JAC,2500
James O'Shaughnessy,4.83,TE,JAC,2500
Jermaine Gresham,0,TE,ARI,2500
John Phillips,0,TE,ARI,2500
Garrett Celek,0,TE,SF,2500
Daniel Brown,0,TE,CHI,2500
Patrick Scales,0,TE,CHI,2500
Ben Braunecker,0,TE,CHI,2500
Adam Shaheen,3.5,TE,CHI,2500
Josh Hill,3.87,TE,NO,2500
Xavier Grimble,0,TE,PIT,2500
Dan Arnold,3.13,TE,NO,2500
Ed Dickson,5.18,TE,SEA,2500
James Winchester,0,TE,KC,2500
Tyler Ott,0,TE,SEA,2500
Nick Vannett,5.96,TE,SEA,2500
Derek Carrier,0,TE,OAK,2500
Lee Smith,0,TE,OAK,2500
Brian Parker,4.66,TE,DEN,2500
Darren Waller,0,TE,OAK,2500
Temarrick Hemingway,0,TE,DEN,2500
Matt Flanagan,2.81,TE,WAS,2500
Sean Culkin,0,TE,LAC,2500
Hayden Hurst,3.06,TE,BAL,2500
Jordan Franks,0,TE,CIN,2500
Dalton Schultz,4.33,TE,DAL,2500
Tanner Hudson,0,TE,TB,2500
Tyler Conklin,2.66,TE,MIN,2500
Jordan Leggett,0,TE,NYJ,2500
Robert Tonyan,0,TE,GB,2500
Jordan Akins,0,TE,HOU,2500
Garrett Dickerson,0,TE,NYG,2500
Mo Alie-Cox,2.95,TE,IND,2500
Durham Smythe,0,TE,MIA,2500
Darrell Daniels,0,TE,ARI,2500
Johnny Mundt,0,TE,LAR,2500
Ross Dwelley,0,TE,SF,2500
Deon Yelder,0,TE,KC,2500
Will Dissly,0,TE,SEA,2500
Panthers,7.54,DST,CAR,2400
Buccaneers,6.62,DST,TB,2300
Falcons,8.9,DST,ATL,2300
Saints,8.81,DST,NO,2300
Chiefs,8.75,DST,KC,2300
Bengals,8.03,DST,CIN,2200
Bills,6.97,DST,BUF,2200
Jets,7.69,DST,NYJ,2200
Steelers,7.79,DST,PIT,2200
Seahawks,7.08,DST,SEA,2200
Redskins,8.14,DST,WAS,2100
Lions,8.27,DST,DET,2100
Eagles,8.19,DST,PHI,2100
Giants,6.32,DST,NYG,2100
Cardinals,8.13,DST,ARI,2000
49ers,8.16,DST,SF,2000
Raiders,7.19,DST,OAK,2000
